,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
Saint Johns University,100.0,553.4988876636489,933.0396876949503,100.0,210.68529904255487,100.0,46.805628614868766,61.72645326660222,303.56318747040814,81.90746337691694,539.8449752610217,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,466.8430740494034,100.0,100.0,171.80983301376173
Saint Mary's University of Minnesota,100.0,65.87834114742743,10.615653027403553,100.0,119.66576927816087,100.0,100.0,100.0,17.085250349800262,8.732673853187448,92.26727700220634,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.07015514556831
St. Olaf College,100.0,100.0,100.0,100.0,105.96766991933396,100.0,100.0,100.0,56.8342166615646,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.83755895565308
The College of Saint Scholastica,60.06776533967262,87.18038872394837,68.72740161138783,100.0,3.161374164424512,100.0,100.0,72.99438584452139,42.394983172329745,74.46800180081084,110.68658986338365,100.0,228.88161347580325,100.0,100.0,100.0,100.0,203.26617665322604,90.66069915083477,100.0,100.0,1548.6065560616862,1110.6954396078008,100.0,100.0,100.0,100.0,100.0,100.0,64.08677118885949,70.6023998166317,100.0,173.0150170773538
University of St Thomas,60.665698150709936,17.218709911064945,25.60516505904197,100.0,71.77314778755513,100.0,46.59650202325606,85.22153304282216,38.958871697116884,27.345339908270606,40.70519009605154,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.79547023369024,4.43935318604605,100.0,100.0,100.0,100.0,30.40939721175438,59.26112660348948,100.0,77.12485952846467
Dunwoody College of Technology,100.0,100.0,99.63968893150414,100.0,100.0,100.0,46.111305981056574,22.453771132924306,77.4438223722386,303.2311912678841,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.19786633344267,100.0,99.43992643809533
Winona State University,100.0,52.90459691306491,92.82647349004385,100.0,21.17134520785638,100.0,100.0,80.95158040910495,77.83724407504839,100.0,48.607861416785504,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.631912942168015,100.0,100.0,216.6496262467907,100.0,100.0,100.0,100.0,100.0,93.89314502190197
William Mitchell College of Law,100.0,100.0,100.0,100.0,100.0,100.0,294.67496423957516,52.67165085644204,72.46683260534266,257.9662563930315,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,108.68061575294973
Alcorn State University,671.9898512269402,31.15691366491041,93.24988621420832,100.0,5.980858866115855,12796.849826265643,320.6490449050023,152.2154515491794,83.4072594091278,4.618877872030362,1923.899677521489,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.688318908080376,100.0,100.0,570.1783114500853
Belhaven College,100.0,100.0,100.0,100.0,100.0,100.0,61.105325615426075,100.0,83.14154570120748,9.590692698196115,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.43242387546343
